"","song_id","title","release","artist_name","year"
"97514","SOKRZCG12AC468C2D9","Nightsong","Nightsong","Sidsel Endresen & Bugge Wesseltoft",1995
"112928","SOHHTAY12A8C13CC1C","What What What","Thomas Tantrum","Thomas Tantrum",2008
"84922","SOEPHWF12A8C1339B5","Molly & Dan","Hearts & Rivers","Richard Dobson & State Of The Heart",0
"37412","SOWFVKO12A8C13ACF9","Let it go","Let it go","Dhany",0
"53562","SORCBSA12AB0181D01","Double Dare Ya","CD Version of the First Two Records","Bikini Kill",1991
"37195","SOFWWJF12AB0186369","Fuck U","Ashtray Heart","Placebo",2009
"192100","SOQKUPV12AB017D6B2","Up And Flying","Don'T I Know","Maura O'connell",2004
"189475","SOIEYEG12AAA8C6B0A","Ah Le Petit Vin Blanc","Chansons De France","Lina Margy",1992
"151314","SOWCKGA12AB0182264","Let's All Chant","Tellement proches","The Michael Zager Band",1977
"18534","SOUFQSI12A81C20CAE","Mr. Clean","Waitaminute","Peter Herbolzheimer Rhythm Combination & Brass",1993
"13253","SOSWCPY12AB0184658","A Coisa Mais Linda Que Existe","Gal Costa","Gal Costa",1968
"31979","SONIJLQ12A6D4F7D51","Superfly (LP Version)","Rhino Hi-Five: Curtis Mayfield","Curtis Mayfield",0
"174245","SOBIXCO12B34F1ECC7","Voorhees","Frames","Oceansize",2007
"171972","SODJKOW12AB01800A5","Any Old Time","Voices Of Americana: The Loneliest Boy In Town","Joe Barry",0
"12049","SOOUKSO12A6D4F4983","Warlock Remix","Edgar Wallace Compact - Der Hexer feat. Fat Jon","Fat Jon",0
"9535","SOCZKCP12AB0186DED","I Ask Myself","Am I My Brothers Keeper","Vicious featuring Wochee",0
"130785","SOMORSH12A58A7AC1C","Work","Here + Living In A Fantasy","Leo Sayer",0
"113935","SOGTNEJ12A6D4FCB99","The Zydeco King","Dance All Night","Chubby Carrier",0
"135080","SORBEBH12AB018A774","Ramalama Berlin Dub By The Architect","Berlin Rocks Part 2","Sex In Dallas",0
"141536","SOSYJVV12A58A7D726","Oooh","Unappreciated","Cherish",2006
"119696","SOZVRBT12A8AE460DC","Lost","Songs Of Mass Destruction","Annie Lennox",2007
"10730","SONSGWI12A8C134192","How Did You Know","Ladies' Choice","Paul Taylor / Regina Belle",0
"72103","SOMHXOS12AB01865AC","I Don't Think I Love You (Album Version)","Transformers: Revenge Of The Fallen The Album","Hoobastank",0
"180769","SOADRBA12AB017F0F6","Goin' On Main Street","American Folk Blues Festival 1982","Carey Bell's Blues Harp Band",0
"152845","SOFRHWL12AB017F4F2","Muonioon","Enkeleitä toisillemme","Jope Ruonansuu",2006
"154058","SOJKPBI12A8C144C9F","The Tower/ Everything Is OK","Kindergarten Cop","Randy Edelman",1990
"10860","SOKNGMB12A8C13DEEF","Whom I'm Being","Curb Side Service","prince ALI",2007
"162174","SOQKBSP12AB018C668","Sweet Thing (Album Version)","Sweet Thing","Boney James",1997
"124168","SODRTPM12A8C13FCF8","Undercover Man","They Only Come Out At Night","Edgar Winter;The Edgar Winter Group",0
"67612","SOAEEYE12A8C139EF1","Ieri Non Ritorna Più","Un Sogno Nelle Mani","Paolo Meneguzzi",2001
"46139","SOYPTNT12AC468B0E4","Todo Novo","Pisces","Pisces",0
"173850","SOQCYDK12AC468A921","Buleria","Zambullete","Michio",0
"9628","SOLQFJN12AF72A1D9B","Colored People Vs Entertaining Angels (Smash-Ups Album Version)","Colored People vs. Entertaining Angels","DC Talk Vs. Newsboys",0
"76178","SOAEDLD12A8C139B8C","Give Judy My Notice","Songs For Silverman","Ben Folds",2003
"75320","SOSEYIR12AC46877AB","Castles In The Sky","Weekend Anthems","Liz Kay",2007
"114877","SOWKSTX12A6BD56744","Keeping Busy","Limbeck","Limbeck",2007
"139399","SOJDQHV12A8C136960","Ride The Ride (Acoustic)","I Will Take Care Of You","The Bangles",0
"124797","SOVYZNY12AB0182AB3","Eureka","Architectural Failures","Hi Red Center",0
"104658","SOZQWMH12A8C13D2A8","Telegraph It","Taris Is Paris (DM 131)","DJ Slugo",0
"126911","SOSWJEB12AB0184C72","She Kept On Talking","Trojan Reggae Sisters Collection","Judy Mowatt",2003
"134424","SOKOXVX12A8C13B126","Santa Claus Is Coming To Town","A Partridge Family Christmas","The Partridge Family",0
"129081","SOUCNBT12A8C145B35","No Boundaries","No Boundaries","Kris Allen",2009
"88836","SOJYNKL12AB0183F9A","Juice","Got Cock?","Revolting Cocks",2010
"103509","SOMIFHH12AC468763E","El Planeta","El Planeta","Los Patita De Perro",0
"17204","SOWPJOK12AC9073110","I'll Make It Good To You (Soul and R&B)","Full Circle","Willie Clayton",0
"14040","SOZCGHV12A8C13A03E","Devolva-me","Retratos","Golden Boys",0
"57267","SOGNLNK12A8C13F1AA","Waterfall","Ibiza Chill Zone Vol. 2 - The Finest Chill Tracks Ever","Liedschatten",2009
"195689","SOSEGOI12AB018B1E2","My Despair","My Despair","In Strict Confidence",2010
"90984","SOSHFLT12A6D4FA902","Attitude Adjustment","Attitude Adjustment","George Howard",0
"71337","SOXYXTV12A8AE47AF2","Wishing I Was There","Glorious: The Singles 97 To 07","Natalie Imbruglia",1997
"138436","SOCCIXZ12A8C13FB42","Never Be the Child","Conqueroo","William Lee Ellis",0
"60569","SORFPZK12AB0184256","Veni_ Veni Emmanuel (O Come_ O Come Emmanuel)","Downe In Yon Forrest (Christmas From The Middle Ages)","Kemper Crabb",0
"73809","SOMVPTU12AB0180FF6","Party Doll","Roots of Rock and Soul 5","Buddy Knox",1973
"133917","SOYOSAC12AAA8C5BA6","Your World In My Eyes","Volven / Urd - That Witch Was","Hagalaz' Runedance",2000
"174732","SOCAYWF12A8C1360D7","Busco A Mi Padre","Voy A Morir","Real De Catorce",0
"160878","SOJMMSG12A6701D943","Don't Let Me Fall","Fefe Dobson","Fefe Dobson",2004
"1009","SOIXCPK12A813568B6","Hope Is Not Enough","Hope Is Not Enough","Royal Treatment Plant",2008
"80967","SODCBXT12A6D4FC6A1","Sweetest Thing (Dutch Mix) (Remix)","Just Until...","Kierra Sheard",0
"67792","SODBWMQ12AB018A91F","The One Who Broke My Heart Is Back In Town","A Letter And A Ring","Gisele MacKenzie",0
"157759","SOJBMKJ12A6D223C23","I Can't Leave You Alone","Rock You Baby","George McCrae",1987
"131063","SOLEWNJ12A6D4F818E","Without You (1996 Digital Remaster)","Groovin' With The Manfreds (R & B Album)","Manfred Mann",0
"103119","SOZUEKI12AB018054F","LOL (Miss Skinny Jeans)","LOL (Miss Skinny Jeans)","Tina Ann",0
"161092","SOHOCMU12A8C1401D4","It Wouldn't Have Made Any Difference","Live from Hartford","Utopia",0
"108757","SORRFVH12AB0183CE0","Drown My Senses","On the Decks With DJ Ondrej","Evolent",0
"184530","SOJBKES12A8C134E0B","News Selection","Vapaa Muurari Live","Uusitalo (A.K.A. Vladislav Delay)",2000
"169465","SORCOVO12A58A7A594","The Gospel (Album Version)","Now","Greg Long",0
"15990","SOOUVNL12A8C145B76","God & Suicide","Furr","Blitzen Trapper",2008
"152128","SOKAXNB12A8C134163","Contort Yourself (August Darnell Remix)","Disco Not Disco Digital Edition","James White & The Blacks",0
"62038","SOOCYIN12AB018297F","Close","Close","Chez Damier",1998
"12675","SOGSANS12AB0185881","Erase","Take This Ride","Moving Targets",0
"163060","SONRYRL12AB01810E6","Those Days","Born Again Revisited","Times New Viking",2009
"146833","SOEESEG12A58A7B4E0","Severed Reality","Waking Into Nightmares","Warbringer",2009
"127030","SOTQGUE12A8C131799","Pacific Sleep Patterns","A Taste For Bitters","Chokebore",1996
"169775","SONEMQB12AB0183825","Happy Home","Happy Home","Mick Clarke_ Lou Martin",0
"117701","SOFMYUX12A8C1379A5","Rude Philosophy","A Bizarre Gardening Accident","Headhunter",0
"185262","SOAGQAS12AB0182E3E","It's A Shame (M&M Remix) (1987 Digital Remaster)","Good Vibes - The Very Best of Laid Back","Laid Back",0
"157583","SOOPVWK12AC3DF6AD3","Reach Out","Future Hardcore Anthems Vol - Mixed by Mike Modulate & Little Miss Detonate","Sparky & Sytronik ft Callum",0
"14673","SOMLNHY12A6D4FA568","How Many Times?","PSYCHIC TERRORISM","Wishbone Ash",1981
"85517","SOGBLOK12AB0185CB8","I Wanna Be Where You Are","Brazil Chill","Bob Baldwin",2004
"137259","SOEARZV12A81C21B89","Fighting The Darkness: The Darkness","New Religion","PRIMAL FEAR",2007
"33846","SONZTPM12AB018EF34","Born Inna System (feat. Buggsy) (RSD Remix)","Remicksman","Skitz",0
"54016","SOYKSVL12A58A7A644","Light Within Darkness","Sunrise EP","mandala",0
"179832","SONKIEY12A8C13F853","Hyperballad","She Loves You","The Twilight Singers",2004
"106889","SOCPZAB12AB018C43F","Dile A Tu Mama","Sabor A Tropico ..! (Digitally Remastered)","Orquesta Aragon",0
"3876","SOLLIMC12A8C1414E9","Last Night","Little Walter's Juke","Little Walter",1954
"76349","SOKOAPW12AB0182051","In der Kirche des Todestrips - Die Horrorhochzeit","Tineoidea oder: Die Folgen einer Nacht","Samsas Traum",0
"194745","SOLHWAH12AB0182343","Worst of Me","SSM","SSM",0
"136134","SOQFJFB12A6D4F822C","Destiny (new Horizons Remix)","Destiny","Dem 2",0
"574","SOWILJK12A8C1336A9","Help Me to Understand","All in Good Time","Johnny Jenkins",0
"191980","SOKAMGX12A8C13AE29","Unconditional Love","Best Of New Grass Revival","New Grass Revival",1987
"168640","SOSIKRV12AB018EE4A","Sturm Café ""Stiefelfabrik","Born/Evolve/Progress","Sturm Café",0
"127835","SOPUWPV12AC468CA33","I've Never Been This Homesick Before","Sheltered","Dottie Rambo",0
"96874","SOUWUBU12AB0185D87","Bloody Bastards Never Die","Dance Dance Revolution","Dungeon Elite",0
"134635","SODDFHY12AB0180582","Alle Macht den Träumen","Alle Macht den Träumen","Silvia",0
"32188","SOFLIWW12AB0189E31","Alltid En ""Deal","Norge Rundt","The Teddybears",1996
"93147","SOADIAR12A8C13DA3C","Bedlam (LP Version)","K-39","The Challengers",0
"134432","SOZOKGC12A8AE471D0","Paha Ihminen","Kesä-EP","Apulanta",2008
"130010","SOVMHEB12AC4689CE6","Historia De Una Rumba","De Nuevo","Celia Cruz & Johnny Pacheco",1995
"167764","SOSGECV12AB0185057","Naked Mario Kart","Naked Mario Kart","RSD",2010
"167780","SOCTUIT12A8C13C2AE","Screwed","17 Reasons","Link 80",1997
"118525","SOSNTRL12A8C13F0E6","Feel","Feel","Pedro Del Mar feat. Emma Nelson",0
"146422","SOMBHZE12A8C13FF6B","Konformität","German Angst","Elf",0
"13779","SOKANUL12AB018C3EC","Untitled (Live)","Live in Copenhagen","Der Blutharsch",2006
"144723","SOMHNNC12AB0186F28","Bitch","Deadly Relics","Artillery",1998
"38298","SOSDEBA12AB0182828","Impossible is Nothing","Confusion in my Mind","Micron",0
"4121","SOSWYQY12A8C13EF61","Grand Canyon (Ada's 1st Dub)","Grand Canyon","Tracey Thorn",2007
"186161","SOTAUWJ12AB0187F7F","Observation (The Eye on Top of the Pyramid)","Why Not Now?...Alan!","F/i",0
"107433","SOXETDM12A8C13FA41","Si Supieras (En Vivo)","Lo Nuevo Y Lo Mejor - En Vivo","Willie Gonzalez",0
"164569","SOLXIMD12A67021993","Nati per vivere","Lei_ gli amici e tutto il resto","Nek",0
"158323","SOAQXCD12A8C137014","Le Tue Mani Su Di Me","Pensiero Stupendo","Patty Pravo",0
"193689","SOCFBEC12A8C142263","Let's Face The Music And Dance","The Stonewall Celebration Concert","Renato Russo",1994
"137943","SOYVRFR12AB018468F","Spotlight (featuring EDOG)","No Contest","Kreators",0
"153515","SOEYQPV12AB018D1EA","Celebration","Det Bästa Från Idol 2004","Alex Falk",0
"40577","SOIQSWI12A81C22F90","Dread Out Deh","The Real Enemy","Mighty Diamonds",0
"59925","SOLBVWN12AB0185376","Three Steps Forward","Riddim Driven - Liquid","Delly Ranks & Da'ville",0
"94395","SOTGWNP12AB018168F","Backslider's Wine","Luckenbach! Compadres!","Tommy Alverson",0
"65611","SOQWUVS12AB018A435","Saved","Rich Man's Woman & Two Days Away","Elkie Brooks",1977
"142007","SOMBFPP12AB0181FD7","Monsieur Brocoli","A la Ferme De Jojo","JoJo",0
"137369","SOQDQED12A8C1326B4","The Christmas Song","Jim Nabors Christmas","Jim Nabors",2002
"90372","SOGAUVB12AC9609F9E","My superstar","À vos marques...Party Vol.2","Audrey Gagnon",0
"134264","SOBRBAC12AB0186F7A","White Lace","Miquel Brown's The Easy Way Out","Miquel Brown",2006
"138607","SOFZEGM12A58A7A790","Allegro Moderato from Ancient Airs and Dances_ Suite 1","Summer Romance","London Philharmonic Orchestra",0
"43918","SOGOMSR12AB01833BD","Shortnin' Bread","Sonny Terry's New Sound: Jawharp in Blues and Folk Music: With Brownie McGhee and J. C. Burris","Sonny Terry",0
"67262","SOOWLOB12A58A79990","Higher Ground","Take The Blame","Libido",0
"50575","SONIDNF12A8C134AF0","Farther feat. Dierdre Dubois","The Lost Art Of The Idle Moment","Carmen Rizzo",2005
"183667","SOTFGQZ12A6D4FCA8E","Astro Zombies","After The Balls Drop (Live NYE)","Les Savy Fav",2008
"16122","SOVFENH12AB0185ED9","Still","Some Mad Hope","Matt Nathanson",2007
"27038","SOLVKFS12A8C136078","Over The Hills (Feat. Bonafied Circle)","Sloppy Seconds Vol. 1","Cunninlynguists",0
"186834","SOHTGNO12A6D4F8293","B Side Wins Again","Fear Of A Black Planet","Public Enemy",1990
"106576","SOSJEMB12AB018337E","Stadium Music (Album Version)","Stadium Music","DAY26",0
"178127","SOKKPXJ12AC468AA8D","Maternal Instinct","Homes & Gardens 2.0","Haujobb",1993
"24533","SOLXJPZ12AB017CE89","Simplify","Simplify EP","Anhken",0
"163347","SOHLGMS12A6D4FBD56","The Way Of Things","25_000 Days","The Boomers",0
"193529","SOIDVXD12AF72A38ED","As The Tables Turn","An Ånswer Can Be Found","CKY",2005
"35855","SOUIXBU12A8C13EE71","Awkward Situation","Cut Out And Keep","Farrah",2006
"85466","SOEOFYX12AB018999D","(Everytime They Play) Our Song","I'd Rather Have You","Wanda Jackson",0
"48473","SOILOEY12AB0182832","Cool Joe (Digitally Remastered 00)","Greatest Hits: Straight Up","George Clinton",0
"58797","SOYSFMC12A6D4F6AA9","Devil Baby","The Ragpicker's Dream","Mark Knopfler",2002
"177705","SOFEMJG12AAFF4168C","Shattered Dreams","Black Nights","Lowell Fulson",0
"110192","SOHPRBU12AB0188609","Only You","Only You","Pete Kingwell",0
"554","SODYRAW12AB0182770","Red Apples","God Is Saying This To You...","Kurt Vile",2009
"36433","SOJAHUL12A8C137043","Catchphrase","Lift","The Reach",2003
"145097","SOXPXDZ12A8C142202","Compulsions (re|worked)","Revivor","Funker Vogt",2003
"9654","SOUMTUX12A8C13850A","Paint It Black","Black Heritage","The Eternal Afflict",1992
"189044","SOBQVWT12AC3DF4702","Vaudeville Park","Jetsetmania!","The Jet Set",0
"186359","SOBXBNH12A8C139B27","Love Is Enough","Kisha","Kisha",1998
"53903","SOSLBEG12A8AE47E42","Drown","Three Days Grace (Deluxe Version)","Three Days Grace",2003
"85269","SOUNOJX12A58A7A74C","Tigersushi","Tigersushi EP","Orson",0
"1050","SOLLHUN12AB0182A16","Adinamia Mou","Anatropi","Kostas Martakis",0
"31081","SOYBVQQ12A8C1360AD","Jackal & Nine","The Eternal Sky","Anubian Lights",1995
"117858","SOCOBQM12A8C13EAF1","Well Paid Scientist","Plastic Surgery Disasters/In God We Trust_ Inc.","Dead Kennedys",1982
"152324","SOXZGPF12D02199021","Eternal Witness","Serve Or Suffer","Absurd Minds",2010
"80555","SOCUXWN12A6D4FB0E4","Escenas de la vida en el borde","Tarefero de mis pagos","Chango Spasiuk",2004
"47311","SOJYXVH12A6D4FBD37","Bramble","The Same As A Flower","Nagisa Ni Te",2004
"82835","SOZHLLO12A6D4FA6CB","Two Rivers (Album Version)","Up On The Sun","Meat Puppets",1985
"161508","SOXKGMH12A67ADBDE0","Ich rocke (Original Club Mix)","Ich rocke","Disko Punks",0
"113615","SOWQQJB12A8C138FAC","Tonight","How A Thug Was Born","Layzie Bone",2006
"24690","SOFQYQN12A6701DE45","Built For Bodies","We Are The Streets","L.O.X.",2000
"79235","SOENFVX12A67021D93","Bare Necessities","Closer To The Truth","Tony Joe White",0
"70463","SOLDFYI12AB017FA21","They Say","Soul Searchin' Part 2","DJ Spinn",0
"173064","SONWJBO12A6D4FD0DC","Hunting High And Low (Album Version)","Hunting High And Low","A-Ha",1997
"93402","SOIWHII12A8C139D61","Deviant Angel","Demon Crossing","Yellow #5",0
"130078","SOUVUHS12A8AE45C60","Connections Are More Dangerous Than Lies","Welcome The Night","The Ataris",2007
"140252","SODYNIX12A8C139275","Sunburn","Movin' Melodies","ATB",1999
"111671","SOCOEHB12AC468A538","Lucky One (Live-Acoustic)","Broken Down...Live And Acoustic In The Poconos","Tantric",0
"184588","SOPPDJG12A8C144C3F","Self Control  (LP Version)","Happy Birthday Mum","Laura Branigan",0
"86795","SOTEIQI12A8C1352DE","Lone Wolf","Shootenanny","Eels",2003
"77717","SOOVELK12AB0183B14","Sobre a gente","Cão","Rômulo Fróes",0
"131975","SOGDHRB12A6701F84D","When The World Was Mine","Ronan","Ronan Keating",2000
"23711","SOWXKJR12AB01855DB","The Moving Room","Close Calls With Brick Walls / Mother of Mankind","Andrew W.K.",2006
"195454","SOTZRNA12A6D4F60D1","Celosa","15 Exitos Vol. 2 - Chayito Valdez Con Mariachi","Chayito Valdez",0
"8886","SOXXNEX12AB018B73F","Trickster ( flay me again)","Manta Ray","Manta Ray",1995
"61158","SOPKJPD12A8C136B32","Possum Kingdom","The Death Of The Party","Amazing Transparent Man",0
"165294","SOPIMRO12AB018527B","La Toalla","Salsa Cubana Vol.8","Orquesta Sonara La Habana",0
"169882","SOSKPSB12A8AE45A3F","Mis Cinco Hijos","The Originals - The Authentic Cuban Flavor","Orquesta Casino De La Playa",0
"38404","SODUJFE12AB018AD95","Kiss It Better","Kiss It Better","Mallorca Lee",0
"194788","SOJIGOQ12A6D4F908A","Ji Mo Fang Xin","Waiting For You","Sammi Cheng",0
"97011","SOFFMHW12AB0182AE9","Metaphysical (A Good Day) (LP Version)","So..Hows Your Girl","Handsome Boy Modeling School",0
"122322","SOSTHQP12A6701F61D","Why Oh Why","What You Thought You Heard","Borialis",0
"89836","SOIMAZL12AB017EEA7","What Do You See (World)","One Nation Under","Blackfire",0
"159887","SOTQSRP12A8C1344F0","Shout To The Lord","Live To Worship","Lincoln Brewster",2000
"153345","SOXEBUD12AB017DDFC","Changó ta vení","Criolla Karabalí","Sierra Maestra",0
"56154","SOHRMBS12AB017E9F3","Bad Habit [Bad Habits Die Hard Dub]","Bad Habit 09 Mixes","ATFC Feat. Lisa Millett",0
"63483","SOPZOKU12A6D4FD6C8","Pages","There For Tomorrow","There For Tomorrow",2007
"170985","SOPCHBV12A8C13C949","Show Me Something Special (SM Organ Version)","Show Me Something Special","SM-Trax",1998
"107726","SOZFLIS12A8C13F77A","I Get The Feeling - Live","Live","Albert Collins",1995
"80663","SOIJTXU12A8C13DB9E","Without Expression (2004 Digital Remaster)","Super Lungs","Terry Reid",0
"160841","SOHOOOE12A6701DB41","Stardust","Lolita","Ennio Morricone",1998
"39232","SOTRHYP12AB0181BD0","People Don't You Know","Mountain Rock","Dear Nora",0
"15931","SONFHBG12A8C134C65","Girl Next Door","Under The Silver Of Machines","Last Winter",0
"131360","SOLZWTB12AB01811D4","R.J.","Uptown Conversation","Ron Carter",0
"138952","SOHJJUU12A8C13501E","Embraceable You","The Genius of Sarah Vaughan","Sarah Vaughan / Clifford Brown",0
"16894","SOZXJBN12AB017D54C","Sunday afternoon","Accelerated evolution","Devin Townsend Band",2003
"160881","SOTTKXG12A8C13EAFF","Harmony","Say What You Want","Sommerset",0
"80389","SOKWKKY12A8C135E47","Sueño Del Inca","Serie De Oro","Los Jaivas",1980
"170270","SOSVTTI12AF72A8941","Beta Aquilae","The Galilean Satellites","Rosetta",2005
"121051","SOKDJEX12A8C13341B","May I Have This Dance","Dressed Up & In Line","Copeland",2003
"47648","SOWJUON12AC4686400","Special","The Blind Leading The Naked","Violent Femmes",1986
"161014","SOSVVZS12A8C143854","Rock Me To The Top","Gold","Tesla",1986
"105059","SOLVEMS12A6D4FA7D3","The Flute","Trance Rapid Vol.5","Avanto",2005
"195186","SOFRLJC12AB0184BD5","Clap Again","Freedom","Akon",2008
"184267","SOTJAEU12A8C138625","Freakin' At The Freakers' Ball","Sloppy Seconds","Dr. Hook & The Medicine Show",0
"78203","SOJNHCA12A6D4FD689","Rockist Part 3","Sea From Shore","School Of Language",2008
"83307","SOWESSV12AB018704A","To Love Someone","The Best Of Original British Lovers Rock Volume. 1","Paul Dawkins",0
"10051","SOMJZAU12A6D4FE2EC","Picture 3","Pictures","Jack DeJohnette_ John Abercrombie",0
"156470","SOHHCIH12A8C13F2C8","Lives We Did Not Live","BKO","Dirtmusic",2010
"9324","SOFTYDV12A8C13B7AA","If You Loved Me (2007 Remastered Album Version)","The Very Best Of Tracy Lawrence","Tracy Lawrence",0
"124872","SOECZNI12AB018E4DB","Hinter dem Spiegel","Hinter dem Spiegel","Ljiljana Petkovic Orchestra",0
"146329","SOYCLEE12A8C13F4E9","Stretch Your Rubber Band - Original","Crescent City Groove Merchants","The Meters",1994
"99324","SOJZPFA12A6701F8D0","Manhattan Rumble (49th Street Massacre) (Quad Mix) (2006 Digital Remaster)","The Harvest Years 1970-1973","Electric Light Orchestra",0
"20763","SOPXAVY12A8C1428EF","Triple Etude (after Chopin) (Live)","Rarities of Piano Music 1992: Live Recordings from the Husum Festival","Marc-André Hamelin",0
"10658","SOABREP12A8C136E03","Smetana : Memories of Bohemia_ Polkas Op.12 : No.2 in E minor","András Schiff - Solo Piano Music","András Schiff",0
"134625","SOGKGRS12A6D4F8997","Maybe This Time","The Collection","Liza Minnelli",1973
"101416","SOJRZAD12A6D4F8FAD","MAKENOSENSE","The world is happy now","Stijn",0
"133057","SOZKBGK12AB017AE89","I Love to say Fuck [Bonus Track] (Album Version)","Songs From The Recently Deceased","Wednesday 13's Frankenstein Drag Queens From Planet 13",2000
"25961","SOSGRYJ12AB01862DB","Holiday Mambo","Mambo Mucho Mambo: The Complete Columbia Masters","Machito and His Afro-Cuban Orchestra",0
